Seq	Fu	e_Fu	Fr	e_Fr
    1	 8.25044e+04	 1.04526e+03	 1.33007e+04	 1.30480e+02
    2	 1.57248e+01	 2.81948e+00	 1.22863e+02	 2.10416e+01
    3	 9.32682e+00	 2.82112e-01	 8.58393e+01	 1.38351e+00
    4	 1.64664e+01	 2.66318e+00	 7.32797e+01	 5.07692e+00
    5	 7.31443e-01	 1.85170e-02	 1.61240e+00	 4.95602e-02
    6	 1.04055e+00	 3.03170e-02	 2.64461e+00	 3.92124e-02
    7	 7.78403e+00	 0.00000e+00	 7.41122e+01	 0.00000e+00
    8	 3.84863e-01	 9.34926e-02	 1.96654e+00	 5.72937e-01
    9	 3.37164e+00	 7.33055e-01	 2.12393e+01	 2.40884e+00
   10	 2.92466e+01	 7.64824e-01	 1.76917e+02	 5.02700e+00
   11	 2.98919e+00	 0.00000e+00	 3.75365e+01	 0.00000e+00
   12	 2.33592e+00	 5.04860e-01	 1.41281e+01	 1.52293e+00
   13	 1.89433e+00	 2.39995e-01	 1.25882e+01	 8.70843e-01
   14	 7.13445e+00	 2.21115e-01	 5.06617e+01	 4.89429e-01
   15	 1.14241e+01	 1.51422e+00	 8.59831e+01	 4.39887e+00
   16	 5.74226e+00	 1.34339e-01	 1.60561e+01	 4.31881e-01
   17	 9.61881e+00	 2.67770e-01	 6.69229e+01	 5.99079e-01
   18	 1.85974e+00	 1.14914e-01	 1.11616e+01	 4.32244e-01
   19	 5.63679e-01	 8.29633e-02	 3.83821e+00	 3.14426e-01
   20	 2.49410e+00	 6.99470e-01	 1.77847e+01	 4.62943e+00
   21	 1.17155e+00	 1.10376e-01	 4.26370e+00	 1.73370e-01
   22	 8.51687e-01	 7.02556e-02	 3.92585e+00	 1.56305e-01
   23	 2.85033e+00	 2.19662e-02	 7.60147e+00	 4.27887e-01
   24	 6.75696e-01	 2.08770e-02	 2.30409e+00	 1.90616e-01
   25	 2.11212e+00	 6.49910e-01	 3.11144e+00	 3.48736e-01
   26	 9.80082e+02	 1.90429e+02	 1.44619e+04	 9.62286e+01
   27	 9.78161e-01	 1.97514e-01	 1.83588e+00	 6.19048e-01
   28	 1.62569e+00	 6.60802e-02	 3.67755e+00	 5.21925e-01
   29	 2.19656e-01	 6.58987e-02	 1.66281e+00	 3.27496e-01
   30	 6.16659e-01	 4.73817e-02	 1.68466e+00	 1.54853e-01
   31	 9.81614e-01	 2.95909e-02	 3.62805e+00	 2.00238e-01
   32	 1.00468e+00	 1.01662e-02	 1.86316e+00	 1.08923e-03
   33	 7.47240e-01	 3.72155e-02	 2.32260e+00	 1.67016e-02
   34	 1.25951e+00	 1.08742e-01	 3.87786e+00	 1.32342e-01
   35	 6.82191e-01	 1.25625e-01	 1.38154e+00	 1.91342e-01
   36	 2.53066e-01	 5.04678e-02	 7.17090e-01	 4.73817e-02
   37	 2.43867e+01	 6.18322e-01	 4.89923e+01	 8.07486e-01
   38	 1.82926e+00	 4.79263e-02	 3.61355e+00	 1.12917e-01
   39	 9.97143e-01	 1.67016e-02	 2.35551e+00	 2.24201e-01
   40	 1.10134e+00	 1.85333e+00	 3.46437e+00	 1.42690e-01
   41	 1.05387e+00	 1.98785e-01	 2.85191e+00	 3.43653e-01
   42	 1.01277e+00	 7.00741e-02	 2.45366e+00	 3.22413e-01
   43	 6.04870e-01	 3.40386e-01	 1.79585e+00	 5.55691e-01
   44	 6.99270e-01	 1.32705e-01	 7.34344e+00	 7.67729e-01
   45	 4.52791e-01	 1.60299e-01	 7.83875e-01	 4.30247e-01
   46	 2.69653e+00	 3.05530e-01	 1.20543e+01	 1.24518e+00
   47	 1.23802e-01	 1.23447e-02	 4.10558e-01	 2.01508e-02
   48	 1.46233e+00	 2.87195e-01	 4.38094e+00	 7.28516e-01
   49	 6.04972e-01	 2.66862e-02	 1.03131e+00	 1.25262e-02
   50	 3.17246e-01	 3.84863e-02	 1.09807e+00	 2.15850e-01

